identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/NetUnblendedRate,lineItem/NetUnblendedCost,lineItem/LegalEntity,product/ProductName,product/activityType,product/alarmType,product/availability,product/availabilityZone,product/cacheEngine,product/capacitystatus,product/category,product/classificationType,product/clientLocation,product/clockSpeed,product/computeFamily,product/computeType,product/contentSource,product/contentType,product/cputype,product/currentGeneration,product/data,product/databaseEdition,product/databaseEngine,product/dedicatedEbsThroughput,product/deploymentOption,product/description,product/directorySize,product/directoryType,product/directoryTypeDescription,product/dominantnondominant,product/durability,product/ecu,product/edition,product/endpoint,product/endpointType,product/engineCode,product/enhancedNetworkingSupported,product/eventType,product/feeCode,product/feeDescription,product/freeQueryTypes,product/freeTier,product/fromLocation,product/fromLocationType,product/gpu,product/gpuMemory,product/group,product/groupDescription,product/inputMode,product/instance,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/io,product/licenseModel,product/location,product/locationType,product/logsSource,product/logsType,product/mailboxStorage,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/maximumExtendedStorage,product/memory,product/memoryGib,product/memorytype,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/minVolumeSize,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/origin,product/outputMode,product/physicalCpu,product/physicalGpu,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/protocol,product/provisioned,product/queueType,product/recipient,product/region,product/requestDescription,product/requestType,product/routingTarget,product/routingType,product/servicecode,product/servicename,product/sku,product/standardStorageRetentionIncluded,product/steps,product/storage,product/storageClass,product/storageMedia,product/storageType,product/subscriptionType,product/tenancy,product/toLocation,product/toLocationType,product/trafficDirection,product/transferType,product/usageFamily,product/usagetype,product/vcpu,product/version,product/volumeType,pricing/LeaseContractLength,pricing/OfferingClass,pricing/PurchaseOption,pricing/RateId,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NetAmortizedUpfrontCostForUsage,reservation/NetAmortizedUpfrontFeeForBillingPeriod,reservation/NetEffectiveCost,reservation/NetRecurringFeeForUsage,reservation/NetUnusedAmortizedUpfrontFeeForBillingPeriod,reservation/NetUnusedRecurringFee,reservation/NetUpfrontValue,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/ReservationARN,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,discount/EdpDiscount,discount/TotalDiscount,resourceTags/aws:cloudformation:stack-id,resourceTags/aws:createdBy,resourceTags/user:Stack,resourceTags/user:env,resourceTags/user:environment,resourceTags/user:layer,resourceTags/user:opsworks:stack,resourceTags/user:service,resourceTags/user:stack
fr6dgtp36alfjxdl2425ondui4wjmmqzcoqivmw7gununils4bcq,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonEC2,HeavyUsage:m5.large,RunInstances,,,,,,USD,,-19.0612800000,,,Enterprise Discount Program Discount for AmazonEC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62TWQC4ZTUQKMRFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yffnkz4amcoorncfssyc33qyqakfwurklxmlfrpdq522hdc6vwua,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,123882922663,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonCloudWatch,EU-CW:GMD-Metrics,GetMetricData,,,,,,USD,,-0.0000098000,,,Enterprise Discount Program Discount for AmazonCloudWatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FH9BET8GMD7SV4NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vg65ac4m5jyorbixmtfd6yzxtfzecyo2j32mi7jt45j6csdeh3aq,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonCloudFront,JP-DataTransfer-Out-Bytes,GET,,,,,,USD,,-0.0034183987,,,Enterprise Discount Program Discount for AmazonCloudFront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CME9BRJSS2F5PBYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555v57y47xqnk7tnhdw5eazds6uuqemcahnto3c5iqx3gebg366q,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonEC2,SAE1-EBS:VolumeUsage.gp2,CreateVolume-Gp2,,,,,,USD,,-0.4111916942,,,Enterprise Discount Program Discount for AmazonEC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XEE5PD8PNDQJR7X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm42itdajfkngasuv6yehy3wnay57okiaw4bacl42funvw527k2a,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonEC2,HeavyUsage:t2.large,RunInstances,,,,,,USD,,-2.9946000000,,,Enterprise Discount Program Discount for AmazonEC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4FYH6T4XVK5YFPTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6tt6w7wbeapnf2pcj4m2yviq5lag25wj7qtc7ztvdovpnj6ykhwa,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonGuardDuty,APS3-PaidEventsAnalyzed,none,,,,,,USD,,-0.0597002560,,,Enterprise Discount Program Discount for AmazonGuardDuty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7A94UFPPANWUZ2ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obijivru4whskmp5kyz7bj2qzjas3crjz3zd55c3epgdt4o55cga,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AWSLambda,EUW2-Lambda-Edge-GB-Second,Invoke,,,,,,USD,,-0.0002999230,,,Enterprise Discount Program Discount for AWSLambda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G6YBNWBZKX2HWXPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23aorwtxxblukfljmiuvnu5wb56n3lrrodcprd2b2recmn5lisdq,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonGuardDuty,USE2-PaidEventsAnalyzed,none,,,,,,USD,,-0.0938952000,,,Enterprise Discount Program Discount for AmazonGuardDuty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMSG9AJ764WAJPHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p6xe6zmoiyk3avv5e46lftz5esmkvvqoiob4omy7qamcno2xf67q,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,344626069734,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonRDS,USW1-RDS:StorageUsage,CreateDBInstance,,,,,,USD,,-0.1645047082,,,Enterprise Discount Program Discount for AmazonRDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695NQU67ZXZCP5ZW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q2ozxudfsrb3xib7bgbig6a7s54ppvixjd2wy62vytdpdaypbqfa,2019-08-01T00:00:00Z/2019-09-01T00:00:00Z,,AWS,Anniversary,344626069734,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,884200247486,EdpDiscount,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,AmazonS3,APN1-TimedStorage-ByteHrs,StandardStorage,,,,,,USD,,-0.0000000045,,,Enterprise Discount Program Discount for AmazonS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCBFTMENTDWZHXHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
